카테고리,이벤트타입,방향,엔드포인트,전송방식,설명,요청데이터,응답데이터,예제요청,예제응답,비고,구현예시,버전
에러,ERROR,서버→클라이언트,,자동,에러 메시지,,"{ ""code"": ""string"", ""message"": ""string"", ""details"": object }",,"{ ""type"": ""ERROR"", ""data"": { ""code"": ""OPERATION_FAILED"", ""message"": ""테이블 잠금 획득 실패"", ""details"": { ""reason"": ""이미 다른 사용자가 편집중입니다."", ""tableKey"": 789, ""lockedBy"": ""user@example.com"" } } }","에러 코드: UNAUTHORIZED(인증 실패), FORBIDDEN(권한 없음), VALIDATION_ERROR(유효성 검증 실패), OPERATION_FAILED(작업 실패), CONFLICT(충돌), RATE_LIMIT_EXCEEDED(속도 제한 초과), MESSAGE_TOO_LARGE(메시지 크기 초과), INTERNAL_ERROR(서버 오류)","// 에러 처리
stompClient.subscribe('/topic/project/123', (message) => {
  const event = JSON.parse(message.body);

  if (event.type === 'ERROR') {
    const { code, message, details } = event.data;

    switch (code) {
      case 'RATE_LIMIT_EXCEEDED':
        showNotification('작업이 너무 빠릅니다. 잠시 후 다시 시도하세요.');
        break;
      case 'VALIDATION_ERROR':
        showFieldError(details.field, message);
        break;
      case 'OPERATION_FAILED':
        showError(message);
        break;
      default:
        console.error('Unexpected error:', message);
    }
  }
});",v1.3.0
테이블,TableNewEvent,서버→클라이언트,/topic/project/{projectKey},REST API 자동,테이블 생성 이벤트,"{ ""type"": ""TableNewEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""tableKey"": 10, ""projectKey"": 100, ""logicalName"": ""회원"", ""physicalName"": ""members"", ""xPosition"": 100.0, ""yPosition"": 200.0, ""colorHex"": ""FF6B6B"", ""createdAt"": ""2025-11-16T10:30:00"", ""updatedAt"": ""2025-11-16T10:30:00"" } }",,"// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'TableNewEvent') {
    // 새 테이블 추가 처리
  }
});","{ ""type"": ""TableNewEvent"", ""event"": { ""tableKey"": 10, ""logicalName"": ""회원"" } }",POST /api/v1/erd/projects/{projectKey}/tables 호출 시 자동 브로드캐스트. DB 저장: PostgreSQL. Kafka 사용.,"const handleTableNew = (event) => {
  const table = event.event;
  canvas.addTable({
    id: table.tableKey,
    name: table.logicalName,
    x: table.xPosition,
    y: table.yPosition,
    color: table.colorHex
  });
};",v1.3.0
테이블,TableMoveEvent,클라이언트→서버→클라이언트,/pub/erd/table/move,WebSocket 발행,테이블 이동 중 (드래그),"{ ""tableKey"": 10, ""xPosition"": 150.5, ""yPosition"": 220.3 }","{ ""type"": ""TableMoveEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""tableKey"": 10, ""xPosition"": 150.5, ""yPosition"": 220.3 } }","// 발행
stompClient.send('/pub/erd/table/move', {}, JSON.stringify({
  tableKey: 10,
  xPosition: 150.5,
  yPosition: 220.3
}));

// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'TableMoveEvent') {
    // 테이블 이동 처리
  }
});","{ ""type"": ""TableMoveEvent"", ""event"": { ""tableKey"": 10, ""xPosition"": 150.5 } }","DB 저장 없음, 실시간 브로드캐스트만 수행. 휘발성. Kafka 미사용.","const handleTableMove = (event) => {
  const { tableKey, xPosition, yPosition } = event.event;
  canvas.moveTable(tableKey, xPosition, yPosition);
};",v1.3.0
테이블,TableMoveEnd,클라이언트→서버,,WebSocket 발행,테이블 이동 완료,"{ ""tableKey"": 10, ""xPosition"": 150.5, ""yPosition"": 220.3 }",,"// 발행 (드래그 완료 시)
stompClient.send('/pub/erd/table/move/end', {}, JSON.stringify({
  tableKey: 10,
  xPosition: 150.5,
  yPosition: 220.3
}));",,드래그 완료 시 최종 위치만 DB 저장. 브로드캐스트 없음. DB 저장: PostgreSQL.,"const handleDragEnd = (tableKey, x, y) => {
  stompClient.send('/pub/erd/table/move/end', {}, JSON.stringify({
    tableKey,
    xPosition: x,
    yPosition: y
  }));
};",v1.3.0
테이블,TableLnameEvent,서버→클라이언트,,REST API 자동,테이블 논리명 변경,,"{ ""type"": ""TableLnameEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""tableKey"": 10, ""logicalName"": ""사용자"" } }","// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'TableLnameEvent') {
    // 논리명 변경 처리
  }
});","{ ""type"": ""TableLnameEvent"", ""event"": { ""tableKey"": 10, ""logicalName"": ""사용자"" } }",PATCH /api/v1/erd/tables/{tableKey}에서 logicalName 수정 시 자동 브로드캐스트. DB 저장: PostgreSQL. Kafka 사용.,"const handleTableLnameChange = (event) => {
  const { tableKey, logicalName } = event.event;
  canvas.updateTableName(tableKey, logicalName);
};",v1.3.0
테이블,TablePnameEvent,서버→클라이언트,,REST API 자동,테이블 물리명 변경,,"{ ""type"": ""TablePnameEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""tableKey"": 10, ""physicalName"": ""users"" } }","// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'TablePnameEvent') {
    // 물리명 변경 처리
  }
});","{ ""type"": ""TablePnameEvent"", ""event"": { ""tableKey"": 10, ""physicalName"": ""users"" } }",PATCH /api/v1/erd/tables/{tableKey}에서 physicalName 수정 시 자동 브로드캐스트. DB 저장: PostgreSQL. Kafka 사용.,"const handleTablePnameChange = (event) => {
  const { tableKey, physicalName } = event.event;
  canvas.updateTablePhysicalName(tableKey, physicalName);
};",v1.3.0
테이블,TableColorEvent,서버→클라이언트,,REST API 자동,테이블 색상 변경,,"{ ""type"": ""TableColorEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""tableKey"": 10, ""colorHex"": ""4ECDC4"" } }","// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'TableColorEvent') {
    // 색상 변경 처리
  }
});","{ ""type"": ""TableColorEvent"", ""event"": { ""tableKey"": 10, ""colorHex"": ""4ECDC4"" } }",PATCH /api/v1/erd/tables/{tableKey}에서 colorHex 수정 시 자동 브로드캐스트. DB 저장: PostgreSQL. Kafka 사용.,"const handleTableColorChange = (event) => {
  const { tableKey, colorHex } = event.event;
  canvas.updateTableColor(tableKey, colorHex);
};",v1.3.0
테이블,TableDelEvent,서버→클라이언트,,REST API 자동,테이블 삭제,,"{ ""type"": ""TableDelEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""tableKey"": 10 } }","// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'TableDelEvent') {
    // 테이블 삭제 처리
  }
});","{ ""type"": ""TableDelEvent"", ""event"": { ""tableKey"": 10 } }",DELETE /api/v1/erd/tables/{tableKey} 호출 시 자동 브로드캐스트. DB 저장: PostgreSQL (삭제). Kafka 사용.,"const handleTableDelete = (event) => {
  const { tableKey } = event.event;
  canvas.removeTable(tableKey);
};",v1.3.0
테이블,TableLockEvent,클라이언트→서버→클라이언트,/pub/erd/table/lock,WebSocket 발행,테이블 편집 잠금,"{ ""tableKey"": 10 }","{ ""type"": ""TableLockEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""tableKey"": 10, ""userEmail"": ""user@example.com"", ""userName"": ""홍길동"" } }","// 발행
stompClient.send('/pub/erd/table/lock', {}, JSON.stringify({
  tableKey: 10
}));

// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'TableLockEvent') {
    // 잠금 처리
  }
});","{ ""type"": ""TableLockEvent"", ""event"": { ""tableKey"": 10, ""userName"": ""홍길동"" } }",Redis 잠금 (TTL 30초). 이미 잠금 존재 시 실패. WebSocket 연결 끊김 시 자동 해제. Kafka 사용.,"const handleTableLock = (event) => {
  const { tableKey, userName } = event.event;
  canvas.lockTable(tableKey, userName);
  showToast(`${userName}님이 편집 중입니다`);
};",v1.3.0
테이블,TableUnlockEvent,클라이언트→서버→클라이언트,/pub/erd/table/unlock,WebSocket 발행,테이블 편집 잠금 해제,"{ ""tableKey"": 10 }","{ ""type"": ""TableUnlockEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""tableKey"": 10, ""userEmail"": ""user@example.com"" } }","// 발행
stompClient.send('/pub/erd/table/unlock', {}, JSON.stringify({
  tableKey: 10
}));

// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'TableUnlockEvent') {
    // 잠금 해제 처리
  }
});","{ ""type"": ""TableUnlockEvent"", ""event"": { ""tableKey"": 10 } }",Redis 잠금 삭제. Kafka 사용.,"const handleTableUnlock = (event) => {
  const { tableKey } = event.event;
  canvas.unlockTable(tableKey);
};",v1.3.0
컬럼,ColumnNewEvent,서버→클라이언트,/topic/project/{projectKey},REST API 자동,컬럼 생성,,"{ ""type"": ""ColumnNewEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""columnKey"": 101, ""tableKey"": 10, ""logicalName"": ""회원 아이디"", ""physicalName"": ""member_id"", ""dataType"": ""BIGINT"", ""isPrimaryKey"": true, ""createdAt"": ""2025-11-16T10:30:00"" } }","// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'ColumnNewEvent') {
    // 컬럼 추가 처리
  }
});","{ ""type"": ""ColumnNewEvent"", ""event"": { ""columnKey"": 101, ""logicalName"": ""회원 아이디"" } }",POST /api/v1/erd/tables/{tableKey}/columns 호출 시 자동 브로드캐스트. DB 저장: PostgreSQL. Kafka 사용.,"const handleColumnNew = (event) => {
  const column = event.event;
  canvas.addColumn(column.tableKey, {
    id: column.columnKey,
    name: column.logicalName,
    type: column.dataType,
    isPK: column.isPrimaryKey
  });
};",v1.3.0
컬럼,ColumnUpdateEvent,서버→클라이언트,/topic/project/{projectKey},REST API 자동,컬럼 수정,,"{ ""type"": ""ColumnUpdateEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""columnKey"": 101, ""tableKey"": 10, ""logicalName"": ""사용자 이메일"", ""physicalName"": ""user_email"", ""dataType"": ""VARCHAR"", ""dataDetail"": [""255""], ""updatedAt"": ""2025-11-16T10:35:00"" } }","// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'ColumnUpdateEvent') {
    // 컬럼 수정 처리
  }
});","{ ""type"": ""ColumnUpdateEvent"", ""event"": { ""columnKey"": 101, ""logicalName"": ""사용자 이메일"" } }",PATCH /api/v1/erd/columns/{columnKey} 호출 시 자동 브로드캐스트. DB 저장: PostgreSQL. Kafka 사용.,"const handleColumnUpdate = (event) => {
  const column = event.event;
  canvas.updateColumn(column.columnKey, {
    name: column.logicalName,
    type: column.dataType
  });
};",v1.3.0
컬럼,ColumnDelEvent,서버→클라이언트,,REST API 자동,컬럼 삭제,,"{ ""type"": ""ColumnDelEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""columnKey"": 101 } }","// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'ColumnDelEvent') {
    // 컬럼 삭제 처리
  }
});","{ ""type"": ""ColumnDelEvent"", ""event"": { ""columnKey"": 101 } }",DELETE /api/v1/erd/columns/{columnKey} 호출 시 자동 브로드캐스트. DB 저장: PostgreSQL (삭제). Kafka 사용.,"const handleColumnDelete = (event) => {
  const { columnKey } = event.event;
  canvas.removeColumn(columnKey);
};",v1.3.0
컬럼,ColumnOrderEvent,클라이언트→서버→클라이언트,/pub/erd/column/reorder,WebSocket 발행,컬럼 순서 변경,"{ ""columnKey"": 101, ""columnOrder"": 2 }","{ ""type"": ""ColumnOrderEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""columnKey"": 101, ""columnOrder"": 2 } }","// 발행
stompClient.send('/pub/erd/column/reorder', {}, JSON.stringify({
  columnKey: 101,
  columnOrder: 2
}));

// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'ColumnOrderEvent') {
    // 순서 변경 처리
  }
});","{ ""type"": ""ColumnOrderEvent"", ""event"": { ""columnKey"": 101, ""columnOrder"": 2 } }",컬럼 순서 변경 후 DB 저장 및 Kafka 브로드캐스트. DB 저장: PostgreSQL. Kafka 사용.,"const handleColumnReorder = (event) => {
  const { columnKey, columnOrder } = event.event;
  canvas.reorderColumn(columnKey, columnOrder);
};",v1.3.0
관계,RelationNewEvent,서버→클라이언트,/topic/project/{projectKey},REST API 자동,관계 생성,,"{ ""type"": ""RelationNewEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""relationKey"": 1, ""fromTableKey"": 10, ""toTableKey"": 20, ""relationType"": ""ONE_TO_MANY"", ""createdAt"": ""2025-11-16T10:30:00"" } }","// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'RelationNewEvent') {
    // 관계 추가 처리
  }
});","{ ""type"": ""RelationNewEvent"", ""event"": { ""relationKey"": 1, ""relationType"": ""ONE_TO_MANY"" } }",POST /api/v1/erd/projects/{projectKey}/relations 호출 시 자동 브로드캐스트. DB 저장: PostgreSQL. Kafka 사용.,"const handleRelationNew = (event) => {
  const relation = event.event;
  canvas.addRelation({
    id: relation.relationKey,
    from: relation.fromTableKey,
    to: relation.toTableKey,
    type: relation.relationType
  });
};",v1.3.0
관계,RelationUpdateEvent,서버→클라이언트,/topic/project/{projectKey},REST API 자동,관계 수정,,"{ ""type"": ""RelationUpdateEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""relationKey"": 1, ""constraintName"": ""fk_order_member"", ""onDeleteAction"": ""SET_NULL"", ""updatedAt"": ""2025-11-16T10:35:00"" } }","// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'RelationUpdateEvent') {
    // 관계 수정 처리
  }
});","{ ""type"": ""RelationUpdateEvent"", ""event"": { ""relationKey"": 1, ""onDeleteAction"": ""SET_NULL"" } }",PATCH /api/v1/erd/relations/{relationKey} 호출 시 자동 브로드캐스트. DB 저장: PostgreSQL. Kafka 사용.,"const handleRelationUpdate = (event) => {
  const relation = event.event;
  canvas.updateRelation(relation.relationKey, {
    onDelete: relation.onDeleteAction
  });
};",v1.3.0
관계,RelationDelEvent,서버→클라이언트,,REST API 자동,관계 삭제,,"{ ""type"": ""RelationDelEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""relationKey"": 1 } }","// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'RelationDelEvent') {
    // 관계 삭제 처리
  }
});","{ ""type"": ""RelationDelEvent"", ""event"": { ""relationKey"": 1 } }",DELETE /api/v1/erd/relations/{relationKey} 호출 시 자동 브로드캐스트. DB 저장: PostgreSQL (삭제). Kafka 사용.,"const handleRelationDelete = (event) => {
  const { relationKey } = event.event;
  canvas.removeRelation(relationKey);
};",v1.3.0
협업,CursorPosEvent,클라이언트→서버→클라이언트,/pub/erd/cursor,WebSocket 발행,커서 위치 공유,"{ ""projectKey"": 100, ""xPosition"": 350.5, ""yPosition"": 420.8 }","{ ""type"": ""CursorPosEvent"", ""projectKey"": 100, ""userKey"": 1, ""event"": { ""projectKey"": 100, ""userEmail"": ""user@example.com"", ""userName"": ""홍길동"", ""userColor"": ""#ff6b6b"", ""xPosition"": 350.5, ""yPosition"": 420.8 } }","// 발행 (마우스 이동 시 주기적, throttle 50-100ms 권장)
stompClient.send('/pub/erd/cursor', {}, JSON.stringify({
  projectKey: 100,
  xPosition: 350.5,
  yPosition: 420.8
}));

// 구독
stompClient.subscribe('/topic/project/100', (message) => {
  const data = JSON.parse(message.body);
  if (data.event.type === 'CursorPosEvent') {
    // 커서 위치 표시
  }
});","{ ""type"": ""CursorPosEvent"", ""event"": { ""userName"": ""홍길동"", ""userColor"": ""#ff6b6b"", ""xPosition"": 350.5 } }","완전 휘발성, DB/Redis 저장 없음. 사용자 색상 자동 생성 (이메일 해시 기반). Kafka 미사용.","const handleCursorMove = (event) => {
  const cursor = event.event;
  canvas.showCursor({
    user: cursor.userName,
    color: cursor.userColor,
    x: cursor.xPosition,
    y: cursor.yPosition
  });
};

// Throttle 적용
let lastCursorSent = 0;
canvas.addEventListener('mousemove', (e) => {
  const now = Date.now();
  if (now - lastCursorSent > 50) {
    stompClient.send('/pub/erd/cursor', {}, JSON.stringify({
      projectKey: 100,
      xPosition: e.clientX,
      yPosition: e.clientY
    }));
    lastCursorSent = now;
  }
});",v1.3.0
